question,model,en_model_answer,en_correct_answer,modified_model_answer,modified_correct_answer,gr_model_answer,gr_correct_answer,confidence_score,nlp_score,levenshtein_score,substring_score,sentence_transformers_score,greek_sentence_transformers_score,F1_score,weighted_total_score,is_correct (labeled by human),is_correct (labeled by machine),is_correct (labeled by human)
,distilbert-base-cased-distilled-squad,rise together to the surface of the sand and flow immediately to the sea,They all rise together on the surface of the sand and run immediately towards the sea,rise together to the surface of the sand and flow immediately to the sea,they all rise together on the surface of the sand and run immediately towards the sea,Ανεβαίνουν μαζί στην επιφάνεια της άμμου και ρέουν αμέσως προς τη θάλασσα,Ανεβαίνουν όλα μαζί στην επιφάνεια της άμμου και τρέχουν αμέσως προς την θάλασσα,0.563026905,0.974,0.765,0.854,0.914,0.913,0.6,0.8423,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,rise together to the surface of the sand and flow immediately to the sea,They all rise together on the surface of the sand and run immediately towards the sea,rise together to the surface of the sand and flow immediately to the sea,they all rise together on the surface of the sand and run immediately towards the sea,Ανεβαίνουν μαζί στην επιφάνεια της άμμου και ρέουν αμέσως προς τη θάλασσα,Ανεβαίνουν όλα μαζί στην επιφάνεια της άμμου και τρέχουν αμέσως προς την θάλασσα,0.170926765,0.974,0.765,0.854,0.914,0.913,0.6,0.8423,yes,yes,yes
,distilbert-base-uncased-distilled-squad,lights disorientate the chicks,They all rise together on the surface of the sand and run immediately towards the sea,lights disorientate the chicks,they all rise together on the surface of the sand and run immediately towards the sea,τα φώτα αποπροσανατολίζουν τους νεοσσούς,Ανεβαίνουν όλα μαζί στην επιφάνεια της άμμου και τρέχουν αμέσως προς την θάλασσα,0.492100239,0.546,0.212,0.278,0.24,0.059,0.1,0.2742,no,no,no
,rsvp-ai/bertserini-bert-base-squad,rise together to the surface of the sand and flow immediately to the sea,They all rise together on the surface of the sand and run immediately towards the sea,rise together to the surface of the sand and flow immediately to the sea,they all rise together on the surface of the sand and run immediately towards the sea,Ανεβαίνουν μαζί στην επιφάνεια της άμμου και ρέουν αμέσως προς τη θάλασσα,Ανεβαίνουν όλα μαζί στην επιφάνεια της άμμου και τρέχουν αμέσως προς την θάλασσα,0.269757152,0.974,0.765,0.854,0.914,0.913,0.6,0.8423,yes,yes,yes
,deepset/minilm-uncased-squad2,rise together to the surface of the sand and flow immediately to the sea,They all rise together on the surface of the sand and run immediately towards the sea,rise together to the surface of the sand and flow immediately to the sea,they all rise together on the surface of the sand and run immediately towards the sea,Ανεβαίνουν μαζί στην επιφάνεια της άμμου και ρέουν αμέσως προς τη θάλασσα,Ανεβαίνουν όλα μαζί στην επιφάνεια της άμμου και τρέχουν αμέσως προς την θάλασσα,0.247658074,0.974,0.765,0.854,0.914,0.913,0.6,0.8423,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,lights disorientate the chicks,They all rise together on the surface of the sand and run immediately towards the sea,lights disorientate the chicks,they all rise together on the surface of the sand and run immediately towards the sea,τα φώτα αποπροσανατολίζουν τους νεοσσούς,Ανεβαίνουν όλα μαζί στην επιφάνεια της άμμου και τρέχουν αμέσως προς την θάλασσα,0.802503228,0.546,0.212,0.278,0.24,0.059,0.1,0.2742,no,no,no
,deepset/bert-base-cased-squad2,rise together to the surface of the sand and flow immediately to the sea,They all rise together on the surface of the sand and run immediately towards the sea,rise together to the surface of the sand and flow immediately to the sea,they all rise together on the surface of the sand and run immediately towards the sea,Ανεβαίνουν μαζί στην επιφάνεια της άμμου και ρέουν αμέσως προς τη θάλασσα,Ανεβαίνουν όλα μαζί στην επιφάνεια της άμμου και τρέχουν αμέσως προς την θάλασσα,0.315634191,0.974,0.765,0.854,0.914,0.913,0.6,0.8423,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,flow immediately to the sea,They all rise together on the surface of the sand and run immediately towards the sea,flow immediately to the sea,they all rise together on the surface of the sand and run immediately towards the sea,να ρέει αμέσως στη θάλασσα,Ανεβαίνουν όλα μαζί στην επιφάνεια της άμμου και τρέχουν αμέσως προς την θάλασσα,0.316503167,0.903,0.294,0.446,0.799,0.636,0.285714286,0.631342857,partially,partially,partially
How many turtles are surviving and adulterating?,deepset/roberta-base-squad2,one,Only one in a thousand.,one,only one in a thousand,μία,Μόνο ένα στα χίλια,0.685028374,0.888,0.136,0.24,0.684,0.568,0.333333333,0.555466667,partially,partially,partially
,bert-large-uncased-whole-word-masking-finetuned-squad,one,Only one in a thousand.,one,only one in a thousand,μία,Μόνο ένα στα χίλια,0.495532513,0.888,0.136,0.24,0.684,0.568,0.333333333,0.555466667,partially,partially,partially
,distilbert-base-cased-distilled-squad,one,Only one in a thousand.,one,only one in a thousand,μία,Μόνο ένα στα χίλια,0.404824138,0.888,0.136,0.24,0.684,0.568,0.333333333,0.555466667,partially,partially,partially
,deepset/bert-large-uncased-whole-word-masking-squad2,one,Only one in a thousand.,one,only one in a thousand,μία,Μόνο ένα στα χίλια,0.680421293,0.888,0.136,0.24,0.684,0.568,0.333333333,0.555466667,partially,partially,partially
,distilbert-base-uncased-distilled-squad,every thousand turtles there is only one,Only one in a thousand.,every thousand turtles there is only one,only one in a thousand,Κάθε χίλιες χελώνες υπάρχει μόνο μία.,Μόνο ένα στα χίλια,0.542575419,0.908,0.25,0.323,0.662,0.728,0.5,0.6037,yes,partially,yes
,rsvp-ai/bertserini-bert-base-squad,one,Only one in a thousand.,one,only one in a thousand,μία,Μόνο ένα στα χίλια,0.546479762,0.888,0.136,0.24,0.684,0.568,0.333333333,0.555466667,partially,partially,partially
,deepset/minilm-uncased-squad2,one,Only one in a thousand.,one,only one in a thousand,μία,Μόνο ένα στα χίλια,0.810570359,0.888,0.136,0.24,0.684,0.568,0.333333333,0.555466667,partially,partially,partially
,dmis-lab/biobert-large-cased-v1.1-squad,one,Only one in a thousand.,one,only one in a thousand,μία,Μόνο ένα στα χίλια,0.460716903,0.888,0.136,0.24,0.684,0.568,0.333333333,0.555466667,partially,partially,partially
,deepset/bert-base-cased-squad2,one,Only one in a thousand.,one,only one in a thousand,μία,Μόνο ένα στα χίλια,0.202811301,0.888,0.136,0.24,0.684,0.568,0.333333333,0.555466667,partially,partially,partially
,bert-large-cased-whole-word-masking-finetuned-squad,one,Only one in a thousand.,one,only one in a thousand,μία,Μόνο ένα στα χίλια,0.685521126,0.888,0.136,0.24,0.684,0.568,0.333333333,0.555466667,partially,partially,partially
What is the result of the destruction of the carnet biotopes?,deepset/roberta-base-squad2,reduction in its population,In the unregulated tourist development,reduction in its population,in the unregulated tourist development,μείωση του πληθυσμού της,Στην άναρχη τουριστική ανάπτυξη,0.194595367,0.733,0.211,0.369,0.568,0.255,0.222222222,0.476244444,no,no,no
,bert-large-uncased-whole-word-masking-finetuned-squad,large reduction in its population,In the unregulated tourist development,large reduction in its population,in the unregulated tourist development,μεγάλη μείωση του πληθυσμού της,Στην άναρχη τουριστική ανάπτυξη,0.498073488,0.753,0.263,0.338,0.521,0.281,0.2,0.4591,no,no,no
,distilbert-base-cased-distilled-squad,large reduction in its population,In the unregulated tourist development,large reduction in its population,in the unregulated tourist development,μεγάλη μείωση του πληθυσμού της,Στην άναρχη τουριστική ανάπτυξη,0.14055565,0.753,0.263,0.338,0.521,0.281,0.2,0.4591,no,no,no
,deepset/bert-large-uncased-whole-word-masking-squad2,threatened with extinction,In the unregulated tourist development,threatened with extinction,in the unregulated tourist development,απειλείται με εξαφάνιση,Στην άναρχη τουριστική ανάπτυξη,0.174329996,0.503,0.263,0.438,0.425,0.23,0,0.3407,no,no,no
,distilbert-base-uncased-distilled-squad,large reduction in its population,In the unregulated tourist development,large reduction in its population,in the unregulated tourist development,μεγάλη μείωση του πληθυσμού της,Στην άναρχη τουριστική ανάπτυξη,0.073213525,0.753,0.263,0.338,0.521,0.281,0.2,0.4591,no,no,no
,rsvp-ai/bertserini-bert-base-squad,extinction,In the unregulated tourist development,extinction,in the unregulated tourist development,εξαφάνιση,Στην άναρχη τουριστική ανάπτυξη,0.228562742,0.265,0.158,0.25,0.558,0.239,0,0.317,no,no,no
,deepset/minilm-uncased-squad2,a large reduction in its population,In the unregulated tourist development,a large reduction in its population,in the unregulated tourist development,μεγάλη μείωση του πληθυσμού της,Στην άναρχη τουριστική ανάπτυξη,0.277270645,0.754,0.237,0.329,0.518,0.281,0.181818182,0.450963636,no,no,no
,dmis-lab/biobert-large-cased-v1.1-squad,a large reduction in its population,In the unregulated tourist development,a large reduction in its population,in the unregulated tourist development,μεγάλη μείωση του πληθυσμού της,Στην άναρχη τουριστική ανάπτυξη,0.457844704,0.754,0.237,0.329,0.518,0.281,0.181818182,0.450963636,no,no,no
,deepset/bert-base-cased-squad2,shrinking of the available turtle nesting beaches,In the unregulated tourist development,shrinking of the available turtle nesting beaches,in the unregulated tourist development,συρρίκνωση των διαθέσιμων παραλιών φωλιάς χελώνας,Στην άναρχη τουριστική ανάπτυξη,0.18738839,0.683,0.265,0.391,0.53,0.163,0.166666667,0.447533333,no,no,no
,bert-large-cased-whole-word-masking-finetuned-squad,large reduction in its population,In the unregulated tourist development,large reduction in its population,in the unregulated tourist development,μεγάλη μείωση του πληθυσμού της,Στην άναρχη τουριστική ανάπτυξη,0.466363102,0.753,0.263,0.338,0.521,0.281,0.2,0.4591,no,no,no
What do the carnets eat that causes suffocation death?,deepset/roberta-base-squad2,plastic bags,Plastic bags,plastic bags,plastic bags,πλαστικές σακούλες,Πλαστικές σακούλες,0.95249933,1,1,1,1,1,1,1,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,plastic bags,Plastic bags,plastic bags,plastic bags,πλαστικές σακούλες,Πλαστικές σακούλες,0.981671631,1,1,1,1,1,1,1,yes,yes,yes
,distilbert-base-cased-distilled-squad,plastic bags,Plastic bags,plastic bags,plastic bags,πλαστικές σακούλες,Πλαστικές σακούλες,0.989354968,1,1,1,1,1,1,1,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,plastic bags,Plastic bags,plastic bags,plastic bags,πλαστικές σακούλες,Πλαστικές σακούλες,0.555882096,1,1,1,1,1,1,1,yes,yes,yes
,distilbert-base-uncased-distilled-squad,plastic bags,Plastic bags,plastic bags,plastic bags,πλαστικές σακούλες,Πλαστικές σακούλες,0.984513402,1,1,1,1,1,1,1,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,plastic bags,Plastic bags,plastic bags,plastic bags,πλαστικές σακούλες,Πλαστικές σακούλες,0.549827993,1,1,1,1,1,1,1,yes,yes,yes
,deepset/minilm-uncased-squad2,plastic bags,Plastic bags,plastic bags,plastic bags,πλαστικές σακούλες,Πλαστικές σακούλες,0.986870408,1,1,1,1,1,1,1,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,plastic bags,Plastic bags,plastic bags,plastic bags,πλαστικές σακούλες,Πλαστικές σακούλες,0.977973163,1,1,1,1,1,1,1,yes,yes,yes
,deepset/bert-base-cased-squad2,plastic bags,Plastic bags,plastic bags,plastic bags,πλαστικές σακούλες,Πλαστικές σακούλες,0.605126798,1,1,1,1,1,1,1,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,plastic bags,Plastic bags,plastic bags,plastic bags,πλαστικές σακούλες,Πλαστικές σακούλες,0.993596733,1,1,1,1,1,1,1,yes,yes,yes
What happens when the carnets eat plastic bags?,deepset/roberta-base-squad2,die of suffocation,Dying from asphyxiation,die of suffocation,dying from asphyxiation,πέθανε από ασφυξία.,Πεθαίνουν από ασφυξία,0.434321731,0.743,0.478,0.537,0.767,0.853,0,0.5569,yes,partially,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,they die of suffocation,Dying from asphyxiation,they die of suffocation,dying from asphyxiation,πεθαίνουν από ασφυξία.,Πεθαίνουν από ασφυξία,0.499868661,0.731,0.304,0.348,0.85,1,0,0.5514,yes,partially,yes
,distilbert-base-cased-distilled-squad,they die of suffocation,Dying from asphyxiation,they die of suffocation,dying from asphyxiation,πεθαίνουν από ασφυξία.,Πεθαίνουν από ασφυξία,0.296083272,0.731,0.304,0.348,0.85,1,0,0.5514,yes,partially,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,they die of suffocation,Dying from asphyxiation,they die of suffocation,dying from asphyxiation,πεθαίνουν από ασφυξία.,Πεθαίνουν από ασφυξία,0.747900069,0.731,0.304,0.348,0.85,1,0,0.5514,yes,partially,yes
,distilbert-base-uncased-distilled-squad,they die of suffocation,Dying from asphyxiation,they die of suffocation,dying from asphyxiation,πεθαίνουν από ασφυξία.,Πεθαίνουν από ασφυξία,0.609097958,0.731,0.304,0.348,0.85,1,0,0.5514,yes,partially,yes
,rsvp-ai/bertserini-bert-base-squad,they die of suffocation,Dying from asphyxiation,they die of suffocation,dying from asphyxiation,πεθαίνουν από ασφυξία.,Πεθαίνουν από ασφυξία,0.3058348,0.731,0.304,0.348,0.85,1,0,0.5514,yes,partially,yes
,deepset/minilm-uncased-squad2,they die of suffocation,Dying from asphyxiation,they die of suffocation,dying from asphyxiation,πεθαίνουν από ασφυξία.,Πεθαίνουν από ασφυξία,0.796954751,0.731,0.304,0.348,0.85,1,0,0.5514,yes,partially,yes
,dmis-lab/biobert-large-cased-v1.1-squad,they die of suffocation,Dying from asphyxiation,they die of suffocation,dying from asphyxiation,πεθαίνουν από ασφυξία.,Πεθαίνουν από ασφυξία,0.549856007,0.731,0.304,0.348,0.85,1,0,0.5514,yes,partially,yes
,deepset/bert-base-cased-squad2,they die of suffocation,Dying from asphyxiation,they die of suffocation,dying from asphyxiation,πεθαίνουν από ασφυξία.,Πεθαίνουν από ασφυξία,0.804949105,0.731,0.304,0.348,0.85,1,0,0.5514,yes,partially,yes
,bert-large-cased-whole-word-masking-finetuned-squad,they die of suffocation,Dying from asphyxiation,they die of suffocation,dying from asphyxiation,πεθαίνουν από ασφυξία.,Πεθαίνουν από ασφυξία,0.743643463,0.731,0.304,0.348,0.85,1,0,0.5514,yes,partially,yes
What time of the day do female carnets give birth?,deepset/roberta-base-squad2,summer months,Late night,summer months,late night,καλοκαιρινούς μήνες,Αργά το βράδυ,0.257107347,0.608,0.231,0.348,0.466,0.345,0,0.3659,no,no,no
,bert-large-uncased-whole-word-masking-finetuned-squad,night,Late night,night,late night,Νύχτα,Αργά το βράδυ,0.579764307,0.887,0.5,0.667,0.9,0.871,0.666666667,0.787433333,yes,yes,yes
,distilbert-base-cased-distilled-squad,summer months coming out two to four times on the beach late at night,Late night,summer months coming out two to four times on the beach late at night,late night,καλοκαιρινούς μήνες που βγαίνουν δύο με τέσσερις φορές στην παραλία αργά τη νύχτα,Αργά το βράδυ,0.205703542,0.793,0.145,0.253,0.468,0.209,0.25,0.4356,no,no,no
,deepset/bert-large-uncased-whole-word-masking-squad2,late at night,Late night,late at night,late night,αργά τη νύχτα,Αργά το βράδυ,0.487243295,0.91,0.769,0.87,0.969,0.986,0.8,0.8935,yes,yes,yes
,distilbert-base-uncased-distilled-squad,summer months coming out two to four times on the beach late at night,Late night,summer months coming out two to four times on the beach late at night,late night,καλοκαιρινούς μήνες που βγαίνουν δύο με τέσσερις φορές στην παραλία αργά τη νύχτα,Αργά το βράδυ,0.334133625,0.793,0.145,0.253,0.468,0.209,0.25,0.4356,no,no,no
,rsvp-ai/bertserini-bert-base-squad,two to four times on the beach late at night,Late night,two to four times on the beach late at night,late night,Δύο με τέσσερις φορές στην παραλία αργά τη νύχτα,Αργά το βράδυ,0.420286179,0.78,0.227,0.37,0.588,0.347,0.333333333,0.517566667,partially,partially,partially
,deepset/minilm-uncased-squad2,late at night,Late night,late at night,late night,αργά τη νύχτα,Αργά το βράδυ,0.190518871,0.91,0.769,0.87,0.969,0.986,0.8,0.8935,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,late at night,Late night,late at night,late night,αργά τη νύχτα,Αργά το βράδυ,0.721987903,0.91,0.769,0.87,0.969,0.986,0.8,0.8935,yes,yes,yes
,deepset/bert-base-cased-squad2,summer,Late night,summer,late night,καλοκαίρι,Αργά το βράδυ,0.280684739,0.598,0,0.125,0.429,0.332,0,0.3037,no,no,no
,bert-large-cased-whole-word-masking-finetuned-squad,late at night,Late night,late at night,late night,αργά τη νύχτα,Αργά το βράδυ,0.743236423,0.91,0.769,0.87,0.969,0.986,0.8,0.8935,yes,yes,yes
How many countries will participate in the new mobile study?,deepset/roberta-base-squad2,"Britain, Denmark, the Netherlands, Finland and Sweden",5,britain denmark the netherlands finland and sweden,5,"Βρετανία, Δανία, Κάτω Χώρες, Φινλανδία και Σουηδία",5,0.857076764,0.025,0,0,0.358,0.023,0,0.1482,partially,no,partially
,bert-large-uncased-whole-word-masking-finetuned-squad,"Britain, Denmark, the Netherlands, Finland and Sweden",5,britain denmark the netherlands finland and sweden,5,"Βρετανία, Δανία, Κάτω Χώρες, Φινλανδία και Σουηδία",5,0.173064768,0.025,0,0,0.358,0.023,0,0.1482,partially,no,partially
,distilbert-base-cased-distilled-squad,250000,5,250000,5,"250, 000",5,0.777748704,-,-,-,-,-,-,0,no,no,no
,deepset/bert-large-uncased-whole-word-masking-squad2,"Britain, Denmark, the Netherlands, Finland and Sweden",5,britain denmark the netherlands finland and sweden,5,"Βρετανία, Δανία, Κάτω Χώρες, Φινλανδία και Σουηδία",5,0.829108179,0.025,0,0,0.358,0.023,0,0.1482,partially,no,partially
,distilbert-base-uncased-distilled-squad,250000,5,250000,5,"250, 000",5,0.217993543,-,-,-,-,-,-,0,no,no,no
,rsvp-ai/bertserini-bert-base-squad,"Britain, Denmark, the Netherlands, Finland and Sweden",5,britain denmark the netherlands finland and sweden,5,"Βρετανία, Δανία, Κάτω Χώρες, Φινλανδία και Σουηδία",5,0.569964588,0.025,0,0,0.358,0.023,0,0.1482,partially,no,partially
,deepset/minilm-uncased-squad2,"Britain, Denmark, the Netherlands, Finland and Sweden",5,britain denmark the netherlands finland and sweden,5,"Βρετανία, Δανία, Κάτω Χώρες, Φινλανδία και Σουηδία",5,0.32085824,0.025,0,0,0.358,0.023,0,0.1482,partially,no,partially
,dmis-lab/biobert-large-cased-v1.1-squad,250000,5,250000,5,"250, 000",5,0.303345978,-,-,-,-,-,-,0,no,no,no
,deepset/bert-base-cased-squad2,"Britain, Denmark, the Netherlands, Finland and Sweden",5,britain denmark the netherlands finland and sweden,5,"Βρετανία, Δανία, Κάτω Χώρες, Φινλανδία και Σουηδία",5,0.68587476,0.025,0,0,0.358,0.023,0,0.1482,partially,no,partially
,bert-large-cased-whole-word-masking-finetuned-squad,"Britain, Denmark, the Netherlands, Finland and Sweden",5,britain denmark the netherlands finland and sweden,5,"Βρετανία, Δανία, Κάτω Χώρες, Φινλανδία και Σουηδία",5,0.835797906,0.025,0,0,0.358,0.023,0,0.1482,partially,no,partially
In which countries will the new study take place?,deepset/roberta-base-squad2,"Britain, Denmark, the Netherlands, Finland and Sweden","United Kingdom, Denmark, the Netherlands, Finland and Sweden",britain denmark the netherlands finland and sweden,united kingdom denmark the netherlands finland and sweden,"Βρετανία, Δανία, Κάτω Χώρες, Φινλανδία και Σουηδία","Σε Βρετανία, Δανία, Ολλανδία, Φινλανδία και Σουηδία",0.958940804,0.958,0.825,0.879,0.974,0.95,0.8,0.9116,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,"Britain, Denmark, the Netherlands, Finland and Sweden","United Kingdom, Denmark, the Netherlands, Finland and Sweden",britain denmark the netherlands finland and sweden,united kingdom denmark the netherlands finland and sweden,"Βρετανία, Δανία, Κάτω Χώρες, Φινλανδία και Σουηδία","Σε Βρετανία, Δανία, Ολλανδία, Φινλανδία και Σουηδία",0.899427772,0.958,0.825,0.879,0.974,0.95,0.8,0.9116,yes,yes,yes
,distilbert-base-cased-distilled-squad,"Britain, Denmark, the Netherlands, Finland and Sweden","United Kingdom, Denmark, the Netherlands, Finland and Sweden",britain denmark the netherlands finland and sweden,united kingdom denmark the netherlands finland and sweden,"Βρετανία, Δανία, Κάτω Χώρες, Φινλανδία και Σουηδία","Σε Βρετανία, Δανία, Ολλανδία, Φινλανδία και Σουηδία",0.927403092,0.958,0.825,0.879,0.974,0.95,0.8,0.9116,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,"Britain, Denmark, the Netherlands, Finland and Sweden","United Kingdom, Denmark, the Netherlands, Finland and Sweden",britain denmark the netherlands finland and sweden,united kingdom denmark the netherlands finland and sweden,"Βρετανία, Δανία, Κάτω Χώρες, Φινλανδία και Σουηδία","Σε Βρετανία, Δανία, Ολλανδία, Φινλανδία και Σουηδία",0.880901456,0.958,0.825,0.879,0.974,0.95,0.8,0.9116,yes,yes,yes
,distilbert-base-uncased-distilled-squad,"Britain, Denmark, the Netherlands, Finland and Sweden","United Kingdom, Denmark, the Netherlands, Finland and Sweden",britain denmark the netherlands finland and sweden,united kingdom denmark the netherlands finland and sweden,"Βρετανία, Δανία, Κάτω Χώρες, Φινλανδία και Σουηδία","Σε Βρετανία, Δανία, Ολλανδία, Φινλανδία και Σουηδία",0.88092196,0.958,0.825,0.879,0.974,0.95,0.8,0.9116,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,"Britain, Denmark, the Netherlands, Finland and Sweden","United Kingdom, Denmark, the Netherlands, Finland and Sweden",britain denmark the netherlands finland and sweden,united kingdom denmark the netherlands finland and sweden,"Βρετανία, Δανία, Κάτω Χώρες, Φινλανδία και Σουηδία","Σε Βρετανία, Δανία, Ολλανδία, Φινλανδία και Σουηδία",0.9553895,0.958,0.825,0.879,0.974,0.95,0.8,0.9116,yes,yes,yes
,deepset/minilm-uncased-squad2,"Britain, Denmark, the Netherlands, Finland and Sweden","United Kingdom, Denmark, the Netherlands, Finland and Sweden",britain denmark the netherlands finland and sweden,united kingdom denmark the netherlands finland and sweden,"Βρετανία, Δανία, Κάτω Χώρες, Φινλανδία και Σουηδία","Σε Βρετανία, Δανία, Ολλανδία, Φινλανδία και Σουηδία",0.899829745,0.958,0.825,0.879,0.974,0.95,0.8,0.9116,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,"Denmark, the Netherlands, Finland and Sweden","United Kingdom, Denmark, the Netherlands, Finland and Sweden",denmark the netherlands finland and sweden,united kingdom denmark the netherlands finland and sweden,"Δανία, Κάτω Χώρες, Φινλανδία και Σουηδία","Σε Βρετανία, Δανία, Ολλανδία, Φινλανδία και Σουηδία",0.007624696,0.956,0.737,0.848,0.965,0.906,0.857142857,0.907128571,no,yes,no
,deepset/bert-base-cased-squad2,"Britain, Denmark, the Netherlands, Finland and Sweden","United Kingdom, Denmark, the Netherlands, Finland and Sweden",britain denmark the netherlands finland and sweden,united kingdom denmark the netherlands finland and sweden,"Βρετανία, Δανία, Κάτω Χώρες, Φινλανδία και Σουηδία","Σε Βρετανία, Δανία, Ολλανδία, Φινλανδία και Σουηδία",0.973892868,0.958,0.825,0.879,0.974,0.95,0.8,0.9116,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,"Britain, Denmark, the Netherlands, Finland and Sweden","United Kingdom, Denmark, the Netherlands, Finland and Sweden",britain denmark the netherlands finland and sweden,united kingdom denmark the netherlands finland and sweden,"Βρετανία, Δανία, Κάτω Χώρες, Φινλανδία και Σουηδία","Σε Βρετανία, Δανία, Ολλανδία, Φινλανδία και Σουηδία",0.961372375,0.958,0.825,0.879,0.974,0.95,0.8,0.9116,yes,yes,yes
What will the new study analyse?,deepset/roberta-base-squad2,"data on 250,000 people between 18 and 69 years of age",The dangers of mobile phones for user health,data on 250000 people between 18 and 69 years of age,the dangers of mobile phones for user health,δεδομένα για 250.000 άτομα ηλικίας μεταξύ 18 και 69 ετών,Τους κινδύνους που εγκυμονούν τα κινητά τηλέφωνα για την υγεία των χρηστών,0.634540617,0.68,0.212,0.229,0.208,0.161,0.105263158,0.284352632,no,no,no
,bert-large-uncased-whole-word-masking-finetuned-squad,"data on 250,000 people between 18 and 69 years of age",The dangers of mobile phones for user health,data on 250000 people between 18 and 69 years of age,the dangers of mobile phones for user health,δεδομένα για 250.000 άτομα ηλικίας μεταξύ 18 και 69 ετών,Τους κινδύνους που εγκυμονούν τα κινητά τηλέφωνα για την υγεία των χρηστών,0.730986893,0.68,0.212,0.229,0.208,0.161,0.105263158,0.284352632,no,no,no
,distilbert-base-cased-distilled-squad,"data on 250,000 people between 18 and 69 years of age",The dangers of mobile phones for user health,data on 250000 people between 18 and 69 years of age,the dangers of mobile phones for user health,δεδομένα για 250.000 άτομα ηλικίας μεταξύ 18 και 69 ετών,Τους κινδύνους που εγκυμονούν τα κινητά τηλέφωνα για την υγεία των χρηστών,0.833290398,0.68,0.212,0.229,0.208,0.161,0.105263158,0.284352632,no,no,no
,deepset/bert-large-uncased-whole-word-masking-squad2,"data on 250,000 people between 18 and 69 years of age",The dangers of mobile phones for user health,data on 250000 people between 18 and 69 years of age,the dangers of mobile phones for user health,δεδομένα για 250.000 άτομα ηλικίας μεταξύ 18 και 69 ετών,Τους κινδύνους που εγκυμονούν τα κινητά τηλέφωνα για την υγεία των χρηστών,0.751598179,0.68,0.212,0.229,0.208,0.161,0.105263158,0.284352632,no,no,no
,distilbert-base-uncased-distilled-squad,"data on 250,000 people between 18 and 69 years of age",The dangers of mobile phones for user health,data on 250000 people between 18 and 69 years of age,the dangers of mobile phones for user health,δεδομένα για 250.000 άτομα ηλικίας μεταξύ 18 και 69 ετών,Τους κινδύνους που εγκυμονούν τα κινητά τηλέφωνα για την υγεία των χρηστών,0.734650671,0.68,0.212,0.229,0.208,0.161,0.105263158,0.284352632,no,no,no
,rsvp-ai/bertserini-bert-base-squad,"data on 250,000 people between 18 and 69 years of age",The dangers of mobile phones for user health,data on 250000 people between 18 and 69 years of age,the dangers of mobile phones for user health,δεδομένα για 250.000 άτομα ηλικίας μεταξύ 18 και 69 ετών,Τους κινδύνους που εγκυμονούν τα κινητά τηλέφωνα για την υγεία των χρηστών,0.716840804,0.68,0.212,0.229,0.208,0.161,0.105263158,0.284352632,no,no,no
,deepset/minilm-uncased-squad2,"data on 250,000 people between 18 and 69 years of age",The dangers of mobile phones for user health,data on 250000 people between 18 and 69 years of age,the dangers of mobile phones for user health,δεδομένα για 250.000 άτομα ηλικίας μεταξύ 18 και 69 ετών,Τους κινδύνους που εγκυμονούν τα κινητά τηλέφωνα για την υγεία των χρηστών,0.65442431,0.68,0.212,0.229,0.208,0.161,0.105263158,0.284352632,no,no,no
,dmis-lab/biobert-large-cased-v1.1-squad,"data on 250,000 people between 18 and 69 years of age",The dangers of mobile phones for user health,data on 250000 people between 18 and 69 years of age,the dangers of mobile phones for user health,δεδομένα για 250.000 άτομα ηλικίας μεταξύ 18 και 69 ετών,Τους κινδύνους που εγκυμονούν τα κινητά τηλέφωνα για την υγεία των χρηστών,0.725179374,0.68,0.212,0.229,0.208,0.161,0.105263158,0.284352632,no,no,no
,deepset/bert-base-cased-squad2,"data on 250,000 people between 18 and 69 years of age",The dangers of mobile phones for user health,data on 250000 people between 18 and 69 years of age,the dangers of mobile phones for user health,δεδομένα για 250.000 άτομα ηλικίας μεταξύ 18 και 69 ετών,Τους κινδύνους που εγκυμονούν τα κινητά τηλέφωνα για την υγεία των χρηστών,0.793022156,0.68,0.212,0.229,0.208,0.161,0.105263158,0.284352632,no,no,no
,bert-large-cased-whole-word-masking-finetuned-squad,"data on 250,000 people between 18 and 69 years of age",The dangers of mobile phones for user health,data on 250000 people between 18 and 69 years of age,the dangers of mobile phones for user health,δεδομένα για 250.000 άτομα ηλικίας μεταξύ 18 και 69 ετών,Τους κινδύνους που εγκυμονούν τα κινητά τηλέφωνα για την υγεία των χρηστών,0.608092666,0.68,0.212,0.229,0.208,0.161,0.105263158,0.284352632,no,no,no
