question,model,en_model_answer,en_correct_answer,modified_model_answer,modified_correct_answer,gr_model_answer,gr_correct_answer,model_prediction_score,nlp_score,levenshtein_score,substring_score,sentence_transformers_score,greek_sentence_transformers_score,F1_score,weighted_total_score,is_correct (labeled by human),is_correct (labeled by machine),is_correct (labeled by human)
,bert-large-cased-whole-word-masking-finetuned-squad,immediately,When he has fallen ill,immediately,when he has fallen ill,αμέσως,Όταν έχει ασθενήσει,0.115413994,0.637,0.182,0.121,0.371,0.449,0,0.3061,no,no,no
Why should a sick fish be removed from the aquarium?,deepset/roberta-base-squad2,not to catch a disease,In order not to stick the rest of the fish,not to catch a disease,in order not to stick the rest of the fish,να μην κολλήσουν ασθένεια,Για να μην κολλήσει τα υπόλοιπα ψάρια,0.089394689,0.838,0.31,0.438,0.671,0.439,0.266666667,0.564133333,partially,partially,partially
,bert-large-uncased-whole-word-masking-finetuned-squad,fish could be a danger to our health,In order not to stick the rest of the fish,fish could be a danger to our health,in order not to stick the rest of the fish,τα ψάρια θα μπορούσαν να αποτελέσουν κίνδυνο για την υγεία μας,Για να μην κολλήσει τα υπόλοιπα ψάρια,0.158012763,0.887,0.238,0.103,0.731,0.488,0.222222222,0.548344444,no,partially,no
,distilbert-base-cased-distilled-squad,they have washed their hands very well,In order not to stick the rest of the fish,they have washed their hands very well,in order not to stick the rest of the fish,έπλυναν πολύ καλά τα χέρια τους.,Για να μην κολλήσει τα υπόλοιπα ψάρια,0.539347827,0.808,0.214,0.25,0.346,0.101,0,0.3464,no,no,no
,deepset/bert-large-uncased-whole-word-masking-squad2,This is necessary in order not to catch a disease,In order not to stick the rest of the fish,this is necessary in order not to catch a disease,in order not to stick the rest of the fish,Αυτό είναι απαραίτητο για να μην προσβλήσει μια ασθένεια,Για να μην κολλήσει τα υπόλοιπα ψάρια,0.102716394,0.905,0.224,0.505,0.673,0.264,0.4,0.6031,partially,partially,partially
,distilbert-base-uncased-distilled-squad,he knows what exactly your fish has and what medicine you should give him,In order not to stick the rest of the fish,he knows what exactly your fish has and what medicine you should give him,in order not to stick the rest of the fish,ξέρει τι ακριβώς έχει το ψάρι σας και τι φάρμακο πρέπει να του δώσετε,Για να μην κολλήσει τα υπόλοιπα ψάρια,0.186698928,0.859,0.26,0.209,0.445,0.427,0.083333333,0.413366667,no,no,no
,rsvp-ai/bertserini-bert-base-squad,they have washed their hands very well,In order not to stick the rest of the fish,they have washed their hands very well,in order not to stick the rest of the fish,έπλυναν πολύ καλά τα χέρια τους.,Για να μην κολλήσει τα υπόλοιπα ψάρια,0.055195507,0.808,0.214,0.25,0.346,0.101,0,0.3464,no,no,no
,deepset/minilm-uncased-squad2,buy healthy fish,In order not to stick the rest of the fish,buy healthy fish,in order not to stick the rest of the fish,αγοράστε υγιεινά ψάρια,Για να μην κολλήσει τα υπόλοιπα ψάρια,0.242297217,0.683,0.238,0.345,0.627,0.621,0.153846154,0.476469231,partially,no,partially
,dmis-lab/biobert-large-cased-v1.1-squad,in order not to catch a disease,In order not to stick the rest of the fish,in order not to catch a disease,in order not to stick the rest of the fish,προκειμένου να μην προσβλήσει ασθένεια,Για να μην κολλήσει τα υπόλοιπα ψάρια,0.20412752,0.9,0.524,0.63,0.786,0.418,0.470588235,0.703917647,partially,yes,partially
,deepset/bert-base-cased-squad2,Only he knows what exactly your fish has and what medicine you should give him,In order not to stick the rest of the fish,only he knows what exactly your fish has and what medicine you should give him,in order not to stick the rest of the fish,Μόνο αυτός ξέρει τι ακριβώς έχει το ψάρι σου και τι φάρμακο πρέπει να του δώσεις.,Για να μην κολλήσει τα υπόλοιπα ψάρια,0.205563426,0.865,0.269,0.25,0.494,0.407,0.08,0.4385,no,no,no
,bert-large-cased-whole-word-masking-finetuned-squad,This is necessary in order not to catch a disease,In order not to stick the rest of the fish,this is necessary in order not to catch a disease,in order not to stick the rest of the fish,Αυτό είναι απαραίτητο για να μην προσβλήσει μια ασθένεια,Για να μην κολλήσει τα υπόλοιπα ψάρια,0.144231394,0.905,0.224,0.505,0.673,0.264,0.4,0.6031,partially,partially,partially
When is antibiotics used in the aquarium?,deepset/roberta-base-squad2,a veterinarian has recommended it,When a veterinarian has recommended it,a veterinarian has recommended it,when a veterinarian has recommended it,ένας κτηνίατρος το έχει συστήσει,Όταν το έχει συστήσει κτηνίατρος,0.233688772,0.987,0.868,0.93,0.974,0.709,0.909090909,0.948618182,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,In no case,When a veterinarian has recommended it,in no case,when a veterinarian has recommended it,Σε καμία περίπτωση,Όταν το έχει συστήσει κτηνίατρος,0.264636368,0.7,0.184,0.25,0.222,0.228,0,0.2722,no,no,no
,distilbert-base-cased-distilled-squad,unless a veterinarian has recommended it,When a veterinarian has recommended it,unless a veterinarian has recommended it,when a veterinarian has recommended it,εκτός εάν ένας κτηνίατρος το έχει συστήσει,Όταν το έχει συστήσει κτηνίατρος,0.563965797,0.984,0.875,0.897,0.909,0.756,0.833333333,0.904266667,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,veterinarian has recommended it,When a veterinarian has recommended it,veterinarian has recommended it,when a veterinarian has recommended it,κτηνίατρος το έχει συστήσει,Όταν το έχει συστήσει κτηνίατρος,0.151403263,0.957,0.816,0.899,0.963,0.66,0.8,0.9081,yes,yes,yes
,distilbert-base-uncased-distilled-squad,unless a veterinarian has recommended it,When a veterinarian has recommended it,unless a veterinarian has recommended it,when a veterinarian has recommended it,εκτός εάν ένας κτηνίατρος το έχει συστήσει,Όταν το έχει συστήσει κτηνίατρος,0.184421942,0.984,0.875,0.897,0.909,0.756,0.833333333,0.904266667,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,unless a veterinarian has recommended it,When a veterinarian has recommended it,unless a veterinarian has recommended it,when a veterinarian has recommended it,εκτός εάν ένας κτηνίατρος το έχει συστήσει,Όταν το έχει συστήσει κτηνίατρος,0.322853506,0.984,0.875,0.897,0.909,0.756,0.833333333,0.904266667,yes,yes,yes
,deepset/minilm-uncased-squad2,buy healthy fish,When a veterinarian has recommended it,buy healthy fish,when a veterinarian has recommended it,αγοράστε υγιεινά ψάρια,Όταν το έχει συστήσει κτηνίατρος,0.349473089,0.579,0.132,0.148,0.37,0.184,0,0.2918,no,no,no
,dmis-lab/biobert-large-cased-v1.1-squad,a veterinarian has recommended it,When a veterinarian has recommended it,a veterinarian has recommended it,when a veterinarian has recommended it,ένας κτηνίατρος το έχει συστήσει,Όταν το έχει συστήσει κτηνίατρος,0.333925486,0.987,0.868,0.93,0.974,0.709,0.909090909,0.948618182,yes,yes,yes
,deepset/bert-base-cased-squad2,30 days,When a veterinarian has recommended it,30 days,when a veterinarian has recommended it,30 ημέρες,Όταν το έχει συστήσει κτηνίατρος,0.063365959,0.447,0.079,0.089,0.39,0.113,0,0.2622,no,no,no
,bert-large-cased-whole-word-masking-finetuned-squad,unless a veterinarian has recommended it,When a veterinarian has recommended it,unless a veterinarian has recommended it,when a veterinarian has recommended it,εκτός εάν ένας κτηνίατρος το έχει συστήσει,Όταν το έχει συστήσει κτηνίατρος,0.241741672,0.984,0.875,0.897,0.909,0.756,0.833333333,0.904266667,yes,yes,yes
What is a caretta?,deepset/roberta-base-squad2,the caretta breeds,Sea turtle,the caretta breeds,sea turtle,οι φυλές καρέτας,Θαλάσια χελώνα,0.30528,0.352,0.222,0.357,0.335,0.538,0,0.2623,no,no,no
,bert-large-uncased-whole-word-masking-finetuned-squad,breeds,Sea turtle,breeds,sea turtle,Φυλές,Θαλάσια χελώνα,0.600280643,0.244,0,0.25,0.341,0.486,0,0.2102,no,no,no
,distilbert-base-cased-distilled-squad,breeds,Sea turtle,breeds,sea turtle,Φυλές,Θαλάσια χελώνα,0.43938747,0.244,0,0.25,0.341,0.486,0,0.2102,no,no,no
,deepset/bert-large-uncased-whole-word-masking-squad2,breeds,Sea turtle,breeds,sea turtle,Φυλές,Θαλάσια χελώνα,0.376964629,0.244,0,0.25,0.341,0.486,0,0.2102,no,no,no
,distilbert-base-uncased-distilled-squad,breeds,Sea turtle,breeds,sea turtle,Φυλές,Θαλάσια χελώνα,0.864580691,0.244,0,0.25,0.341,0.486,0,0.2102,no,no,no
,rsvp-ai/bertserini-bert-base-squad,The caretta sea turtle,Sea turtle,the caretta sea turtle,sea turtle,Η θαλάσσια χελώνα caretta,Θαλάσια χελώνα,0.178018361,0.948,0.455,0.625,0.946,0.913,0.666666667,0.809333333,yes,yes,yes
,deepset/minilm-uncased-squad2,breeds,Sea turtle,breeds,sea turtle,Φυλές,Θαλάσια χελώνα,0.54016757,0.244,0,0.25,0.341,0.486,0,0.2102,no,no,no
,dmis-lab/biobert-large-cased-v1.1-squad,sea turtle,Sea turtle,sea turtle,sea turtle,θαλάσσια χελώνα,Θαλάσια χελώνα,0.151450098,1,1,1,1,0.968,1,1,yes,yes,yes
,deepset/bert-base-cased-squad2,destruction of the habitats,Sea turtle,destruction of the habitats,sea turtle,καταστροφή των οικοτόπων,Θαλάσια χελώνα,0.343726546,0.5,0.148,0.216,0.306,0.319,0,0.2588,no,no,no
,bert-large-cased-whole-word-masking-finetuned-squad,sea turtle,Sea turtle,sea turtle,sea turtle,θαλάσσια χελώνα,Θαλάσια χελώνα,0.285753459,1,1,1,1,0.968,1,1,yes,yes,yes
Why is caretta threatened with extinction?,deepset/roberta-base-squad2,destruction of the habitats,Due to the destruction of the habitat due to human activities,destruction of the habitats,due to the destruction of the habitat due to human activities,καταστροφή των οικοτόπων,Λόγω της καταστροφής του βιότοπου εξαιτίας ανθρώπινων δραστηριοτήτων,0.257062376,0.877,0.443,0.614,0.783,0.494,0.4,0.6743,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,destruction of the habitats,Due to the destruction of the habitat due to human activities,destruction of the habitats,due to the destruction of the habitat due to human activities,καταστροφή των οικοτόπων,Λόγω της καταστροφής του βιότοπου εξαιτίας ανθρώπινων δραστηριοτήτων,0.479931384,0.877,0.443,0.614,0.783,0.494,0.4,0.6743,yes,yes,yes
,distilbert-base-cased-distilled-squad,destruction of the habitats,Due to the destruction of the habitat due to human activities,destruction of the habitats,due to the destruction of the habitat due to human activities,καταστροφή των οικοτόπων,Λόγω της καταστροφής του βιότοπου εξαιτίας ανθρώπινων δραστηριοτήτων,0.317096502,0.877,0.443,0.614,0.783,0.494,0.4,0.6743,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,destruction of the habitats,Due to the destruction of the habitat due to human activities,destruction of the habitats,due to the destruction of the habitat due to human activities,καταστροφή των οικοτόπων,Λόγω της καταστροφής του βιότοπου εξαιτίας ανθρώπινων δραστηριοτήτων,0.409903198,0.877,0.443,0.614,0.783,0.494,0.4,0.6743,yes,yes,yes
,distilbert-base-uncased-distilled-squad,The destruction of the habitats,Due to the destruction of the habitat due to human activities,the destruction of the habitats,due to the destruction of the habitat due to human activities,Η καταστροφή των οικοτόπων,Λόγω της καταστροφής του βιότοπου εξαιτίας ανθρώπινων δραστηριοτήτων,0.423345923,0.902,0.508,0.674,0.797,0.522,0.375,0.6924,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,destruction of the habitats,Due to the destruction of the habitat due to human activities,destruction of the habitats,due to the destruction of the habitat due to human activities,καταστροφή των οικοτόπων,Λόγω της καταστροφής του βιότοπου εξαιτίας ανθρώπινων δραστηριοτήτων,0.374524802,0.877,0.443,0.614,0.783,0.494,0.4,0.6743,yes,yes,yes
,deepset/minilm-uncased-squad2,destruction of the habitat due to human activities,Due to the destruction of the habitat due to human activities,destruction of the habitat due to human activities,due to the destruction of the habitat due to human activities,καταστροφή του οικοτόπου λόγω ανθρώπινων δραστηριοτήτων,Λόγω της καταστροφής του βιότοπου εξαιτίας ανθρώπινων δραστηριοτήτων,0.288713038,0.987,0.82,0.901,0.982,0.842,0.842105263,0.930721053,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,The destruction of the habitats,Due to the destruction of the habitat due to human activities,the destruction of the habitats,due to the destruction of the habitat due to human activities,Η καταστροφή των οικοτόπων,Λόγω της καταστροφής του βιότοπου εξαιτίας ανθρώπινων δραστηριοτήτων,0.102583073,0.902,0.508,0.674,0.797,0.522,0.375,0.6924,yes,yes,yes
,deepset/bert-base-cased-squad2,destruction of the habitat due to human activities,Due to the destruction of the habitat due to human activities,destruction of the habitat due to human activities,due to the destruction of the habitat due to human activities,καταστροφή του οικοτόπου λόγω ανθρώπινων δραστηριοτήτων,Λόγω της καταστροφής του βιότοπου εξαιτίας ανθρώπινων δραστηριοτήτων,0.106659487,0.987,0.82,0.901,0.982,0.842,0.842105263,0.930721053,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,destruction of the habitat due to human activities,Due to the destruction of the habitat due to human activities,destruction of the habitat due to human activities,due to the destruction of the habitat due to human activities,καταστροφή του οικοτόπου λόγω ανθρώπινων δραστηριοτήτων,Λόγω της καταστροφής του βιότοπου εξαιτίας ανθρώπινων δραστηριοτήτων,0.311605603,0.987,0.82,0.901,0.982,0.842,0.842105263,0.930721053,yes,yes,yes
What food does caretta really like?,deepset/roberta-base-squad2,stingrays,The stingrays,stingrays,the stingrays,τσιγκούνηδες,Οι τσούχτρες,0.894254804,0.845,0.692,0.818,0.968,0.65,0.666666667,0.840533333,yes,yes,no
,bert-large-uncased-whole-word-masking-finetuned-squad,stingrays,The stingrays,stingrays,the stingrays,τσιγκούνηδες,Οι τσούχτρες,0.982192218,0.845,0.692,0.818,0.968,0.65,0.666666667,0.840533333,yes,yes,no
,distilbert-base-cased-distilled-squad,stingrays,The stingrays,stingrays,the stingrays,τσιγκούνηδες,Οι τσούχτρες,0.880215466,0.845,0.692,0.818,0.968,0.65,0.666666667,0.840533333,yes,yes,no
,deepset/bert-large-uncased-whole-word-masking-squad2,stingrays,The stingrays,stingrays,the stingrays,τσιγκούνηδες,Οι τσούχτρες,0.9394449,0.845,0.692,0.818,0.968,0.65,0.666666667,0.840533333,yes,yes,no
,distilbert-base-uncased-distilled-squad,marine plants and invertebrates -special is its preference for stingrays,The stingrays,marine plants and invertebrates special is its preference for stingrays,the stingrays,θαλάσσια φυτά και ασπόνδυλα -ειδική είναι η προτίμησή του για κεντρί,Οι τσούχτρες,0.221932918,0.636,0.169,0.262,0.706,-0.004,0.166666667,0.486033333,no,no,no
,rsvp-ai/bertserini-bert-base-squad,ls and fish,The stingrays,ls and fish,the stingrays,ls και ψάρια,Οι τσούχτρες,0.637288034,0.441,0.154,0.25,0.617,0.349,0,0.3754,no,no,no
,deepset/minilm-uncased-squad2,plastic bags,The stingrays,plastic bags,the stingrays,πλαστικές σακούλες,Οι τσούχτρες,0.605254471,0.183,0.385,0.4,0.388,0.405,0,0.2703,no,no,no
,dmis-lab/biobert-large-cased-v1.1-squad,stingrays,The stingrays,stingrays,the stingrays,τσιγκούνηδες,Οι τσούχτρες,0.748197258,0.845,0.692,0.818,0.968,0.65,0.666666667,0.840533333,no,yes,no
,deepset/bert-base-cased-squad2,crabs,The stingrays,crabs,the stingrays,Καβούρια,Οι τσούχτρες,0.255288273,0.569,0.231,0.333,0.693,0.65,0,0.4474,no,no,no
,bert-large-cased-whole-word-masking-finetuned-squad,stingrays,The stingrays,stingrays,the stingrays,τσιγκούνηδες,Οι τσούχτρες,0.930267274,0.845,0.692,0.818,0.968,0.65,0.666666667,0.840533333,no,yes,no
In which food does the caretta show a particular preference?,deepset/roberta-base-squad2,stingrays,In the tsouhtres,stingrays,in the tsouhtres,τσιγκούνηδες,Στις τσούχτρες,0.969585538,-0.044,0.125,0.32,0.529,0.47,0,0.2473,no,no,no
,bert-large-uncased-whole-word-masking-finetuned-squad,stingrays,In the tsouhtres,stingrays,in the tsouhtres,τσιγκούνηδες,Στις τσούχτρες,0.989223778,-0.044,0.125,0.32,0.529,0.47,0,0.2473,no,no,no
,distilbert-base-cased-distilled-squad,stingrays,In the tsouhtres,stingrays,in the tsouhtres,τσιγκούνηδες,Στις τσούχτρες,0.968194842,-0.044,0.125,0.32,0.529,0.47,0,0.2473,no,no,no
,deepset/bert-large-uncased-whole-word-masking-squad2,stingrays,In the tsouhtres,stingrays,in the tsouhtres,τσιγκούνηδες,Στις τσούχτρες,0.984091043,-0.044,0.125,0.32,0.529,0.47,0,0.2473,no,no,no
,distilbert-base-uncased-distilled-squad,plastic bags,In the tsouhtres,plastic bags,in the tsouhtres,πλαστικές σακούλες,Στις τσούχτρες,0.988231778,0.293,0.125,0.214,0.6,0.28,0,0.3325,no,no,no
,rsvp-ai/bertserini-bert-base-squad,stingrays,In the tsouhtres,stingrays,in the tsouhtres,τσιγκούνηδες,Στις τσούχτρες,0.797201157,-0.044,0.125,0.32,0.529,0.47,0,0.2473,no,no,no
,deepset/minilm-uncased-squad2,plastic bags,In the tsouhtres,plastic bags,in the tsouhtres,πλαστικές σακούλες,Στις τσούχτρες,0.80373174,0.293,0.125,0.214,0.6,0.28,0,0.3325,no,no,no
,dmis-lab/biobert-large-cased-v1.1-squad,stingrays,In the tsouhtres,stingrays,in the tsouhtres,τσιγκούνηδες,Στις τσούχτρες,0.987340212,-0.044,0.125,0.32,0.529,0.47,0,0.2473,no,no,no
,deepset/bert-base-cased-squad2,stingrays,In the tsouhtres,stingrays,in the tsouhtres,τσιγκούνηδες,Στις τσούχτρες,0.920296133,-0.044,0.125,0.32,0.529,0.47,0,0.2473,no,no,no
,bert-large-cased-whole-word-masking-finetuned-squad,stingrays,In the tsouhtres,stingrays,in the tsouhtres,τσιγκούνηδες,Στις τσούχτρες,0.953072488,-0.044,0.125,0.32,0.529,0.47,0,0.2473,no,no,no
What do newborn turtles do when they get out of their eggs?,deepset/roberta-base-squad2,run to the sea,They rise all together to the surface of the sand and run immediately towards the sea,run to the sea,they rise all together to the surface of the sand and run immediately towards the sea,τρέξτε προς τη θάλασσα,Ανεβαίνουν όλα μαζί στην επιφάνεια της άμμου και τρέχουν αμέσως προς την θάλασσα,0.150997609,0.919,0.165,0.242,0.786,0.533,0.4,0.6189,yes,partially,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,run to the sea,They rise all together to the surface of the sand and run immediately towards the sea,run to the sea,they rise all together to the surface of the sand and run immediately towards the sea,τρέξτε προς τη θάλασσα,Ανεβαίνουν όλα μαζί στην επιφάνεια της άμμου και τρέχουν αμέσως προς την θάλασσα,0.471449137,0.919,0.165,0.242,0.786,0.533,0.4,0.6189,yes,partially,yes
,distilbert-base-cased-distilled-squad,run to the sea,They rise all together to the surface of the sand and run immediately towards the sea,run to the sea,they rise all together to the surface of the sand and run immediately towards the sea,τρέξτε προς τη θάλασσα,Ανεβαίνουν όλα μαζί στην επιφάνεια της άμμου και τρέχουν αμέσως προς την θάλασσα,0.296962023,0.919,0.165,0.242,0.786,0.533,0.4,0.6189,yes,partially,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,run to the sea,They rise all together to the surface of the sand and run immediately towards the sea,run to the sea,they rise all together to the surface of the sand and run immediately towards the sea,τρέξτε προς τη θάλασσα,Ανεβαίνουν όλα μαζί στην επιφάνεια της άμμου και τρέχουν αμέσως προς την θάλασσα,0.489323586,0.919,0.165,0.242,0.786,0.533,0.4,0.6189,yes,partially,yes
,distilbert-base-uncased-distilled-squad,disorient the chicks,They rise all together to the surface of the sand and run immediately towards the sea,disorient the chicks,they rise all together to the surface of the sand and run immediately towards the sea,αποπροσανατολίζει τους νεοσσούς,Ανεβαίνουν όλα μαζί στην επιφάνεια της άμμου και τρέχουν αμέσως προς την θάλασσα,0.20321396,0.469,0.165,0.267,0.196,0.078,0.105263158,0.236452632,no,no,no
,rsvp-ai/bertserini-bert-base-squad,run to the sea,They rise all together to the surface of the sand and run immediately towards the sea,run to the sea,they rise all together to the surface of the sand and run immediately towards the sea,τρέξτε προς τη θάλασσα,Ανεβαίνουν όλα μαζί στην επιφάνεια της άμμου και τρέχουν αμέσως προς την θάλασσα,0.357198805,0.919,0.165,0.242,0.786,0.533,0.4,0.6189,yes,partially,yes
,deepset/minilm-uncased-squad2,run to the sea,They rise all together to the surface of the sand and run immediately towards the sea,run to the sea,they rise all together to the surface of the sand and run immediately towards the sea,τρέξτε προς τη θάλασσα,Ανεβαίνουν όλα μαζί στην επιφάνεια της άμμου και τρέχουν αμέσως προς την θάλασσα,0.404624581,0.919,0.165,0.242,0.786,0.533,0.4,0.6189,yes,partially,yes
,dmis-lab/biobert-large-cased-v1.1-squad,run to the sea,They rise all together to the surface of the sand and run immediately towards the sea,run to the sea,they rise all together to the surface of the sand and run immediately towards the sea,τρέξτε προς τη θάλασσα,Ανεβαίνουν όλα μαζί στην επιφάνεια της άμμου και τρέχουν αμέσως προς την θάλασσα,0.165776297,0.919,0.165,0.242,0.786,0.533,0.4,0.6189,yes,partially,yes
,deepset/bert-base-cased-squad2,rise together to the surface of the sand and immediately run to the sea,They rise all together to the surface of the sand and run immediately towards the sea,rise together to the surface of the sand and immediately run to the sea,they rise all together to the surface of the sand and run immediately towards the sea,να ανέβουν μαζί στην επιφάνεια της άμμου και να τρέξουν αμέσως προς τη θάλασσα,Ανεβαίνουν όλα μαζί στην επιφάνεια της άμμου και τρέχουν αμέσως προς την θάλασσα,0.206599861,0.991,0.765,0.859,0.979,0.909,0.733333333,0.898866667,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,run to the sea,They rise all together to the surface of the sand and run immediately towards the sea,run to the sea,they rise all together to the surface of the sand and run immediately towards the sea,τρέξτε προς τη θάλασσα,Ανεβαίνουν όλα μαζί στην επιφάνεια της άμμου και τρέχουν αμέσως προς την θάλασσα,0.598114967,0.919,0.165,0.242,0.786,0.533,0.4,0.6189,yes,partially,yes
How many turtles survive and come of age?,deepset/roberta-base-squad2,one,Only one in a thousand,one,only one in a thousand,Ένα,Μόνο ένα στα χίλια,0.333768994,0.888,0.136,0.24,0.684,0.568,0.333333333,0.555466667,partially,partially,partially
,bert-large-uncased-whole-word-masking-finetuned-squad,one,Only one in a thousand,one,only one in a thousand,Ένα,Μόνο ένα στα χίλια,0.507201314,0.888,0.136,0.24,0.684,0.568,0.333333333,0.555466667,partially,partially,partially
,distilbert-base-cased-distilled-squad,one,Only one in a thousand,one,only one in a thousand,Ένα,Μόνο ένα στα χίλια,0.406840324,0.888,0.136,0.24,0.684,0.568,0.333333333,0.555466667,partially,partially,partially
,deepset/bert-large-uncased-whole-word-masking-squad2,one,Only one in a thousand,one,only one in a thousand,Ένα,Μόνο ένα στα χίλια,0.4393121,0.888,0.136,0.24,0.684,0.568,0.333333333,0.555466667,partially,partially,partially
,distilbert-base-uncased-distilled-squad,one,Only one in a thousand,one,only one in a thousand,Ένα,Μόνο ένα στα χίλια,0.790766776,0.888,0.136,0.24,0.684,0.568,0.333333333,0.555466667,partially,partially,partially
,rsvp-ai/bertserini-bert-base-squad,one,Only one in a thousand,one,only one in a thousand,Ένα,Μόνο ένα στα χίλια,0.642111242,0.888,0.136,0.24,0.684,0.568,0.333333333,0.555466667,partially,partially,partially
,deepset/minilm-uncased-squad2,one,Only one in a thousand,one,only one in a thousand,Ένα,Μόνο ένα στα χίλια,0.770135999,0.888,0.136,0.24,0.684,0.568,0.333333333,0.555466667,partially,partially,partially
,dmis-lab/biobert-large-cased-v1.1-squad,one,Only one in a thousand,one,only one in a thousand,Ένα,Μόνο ένα στα χίλια,0.401038259,0.888,0.136,0.24,0.684,0.568,0.333333333,0.555466667,partially,partially,partially
,deepset/bert-base-cased-squad2,one,Only one in a thousand,one,only one in a thousand,Ένα,Μόνο ένα στα χίλια,0.446861356,0.888,0.136,0.24,0.684,0.568,0.333333333,0.555466667,partially,partially,partially
,bert-large-cased-whole-word-masking-finetuned-squad,one,Only one in a thousand,one,only one in a thousand,Ένα,Μόνο ένα στα χίλια,0.75309056,0.888,0.136,0.24,0.684,0.568,0.333333333,0.555466667,partially,partially,partially
What is the cause of the destruction of the kareta habitats?,deepset/roberta-base-squad2,unregulated tourist development,The unregulated tourist development,unregulated tourist development,the unregulated tourist development,άναρχη τουριστική ανάπτυξη,Στην άναρχη τουριστική ανάπτυξη,0.419316262,0.961,0.886,0.939,0.98,0.958,0.857142857,0.938128571,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,unregulated tourist development,The unregulated tourist development,unregulated tourist development,the unregulated tourist development,άναρχη τουριστική ανάπτυξη,Στην άναρχη τουριστική ανάπτυξη,0.540910482,0.961,0.886,0.939,0.98,0.958,0.857142857,0.938128571,yes,yes,yes
,distilbert-base-cased-distilled-squad,human activities,The unregulated tourist development,human activities,the unregulated tourist development,ανθρώπινες δραστηριότητες,Στην άναρχη τουριστική ανάπτυξη,0.976471722,0.652,0.2,0.196,0.364,0.244,0,0.3156,no,no,no
,deepset/bert-large-uncased-whole-word-masking-squad2,unregulated tourist development,The unregulated tourist development,unregulated tourist development,the unregulated tourist development,άναρχη τουριστική ανάπτυξη,Στην άναρχη τουριστική ανάπτυξη,0.711086035,0.961,0.886,0.939,0.98,0.958,0.857142857,0.938128571,yes,yes,yes
,distilbert-base-uncased-distilled-squad,human activities,The unregulated tourist development,human activities,the unregulated tourist development,ανθρώπινες δραστηριότητες,Στην άναρχη τουριστική ανάπτυξη,0.929680645,0.652,0.2,0.196,0.364,0.244,0,0.3156,no,no,no
,rsvp-ai/bertserini-bert-base-squad,human activities,The unregulated tourist development,human activities,the unregulated tourist development,ανθρώπινες δραστηριότητες,Στην άναρχη τουριστική ανάπτυξη,0.940770864,0.652,0.2,0.196,0.364,0.244,0,0.3156,no,no,no
,deepset/minilm-uncased-squad2,human activities,The unregulated tourist development,human activities,the unregulated tourist development,ανθρώπινες δραστηριότητες,Στην άναρχη τουριστική ανάπτυξη,0.943913043,0.652,0.2,0.196,0.364,0.244,0,0.3156,no,no,no
,dmis-lab/biobert-large-cased-v1.1-squad,human activities,The unregulated tourist development,human activities,the unregulated tourist development,ανθρώπινες δραστηριότητες,Στην άναρχη τουριστική ανάπτυξη,0.926173747,0.652,0.2,0.196,0.364,0.244,0,0.3156,no,no,no
,deepset/bert-base-cased-squad2,human activities,The unregulated tourist development,human activities,the unregulated tourist development,ανθρώπινες δραστηριότητες,Στην άναρχη τουριστική ανάπτυξη,0.979521215,0.652,0.2,0.196,0.364,0.244,0,0.3156,no,no,no
,bert-large-cased-whole-word-masking-finetuned-squad,human activities,The unregulated tourist development,human activities,the unregulated tourist development,ανθρώπινες δραστηριότητες,Στην άναρχη τουριστική ανάπτυξη,0.741824031,0.652,0.2,0.196,0.364,0.244,0,0.3156,no,no,no
What do carettas eat that causes death by suffocation?,deepset/roberta-base-squad2,plastic bags,Plastic bags,plastic bags,plastic bags,πλαστικές σακούλες,Πλαστικές σακούλες,0.817555904,1,1,1,1,1,1,1,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,plastic bags,Plastic bags,plastic bags,plastic bags,πλαστικές σακούλες,Πλαστικές σακούλες,0.955179989,1,1,1,1,1,1,1,yes,yes,yes
,distilbert-base-cased-distilled-squad,plastic bags,Plastic bags,plastic bags,plastic bags,πλαστικές σακούλες,Πλαστικές σακούλες,0.840367675,1,1,1,1,1,1,1,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,plastic bags,Plastic bags,plastic bags,plastic bags,πλαστικές σακούλες,Πλαστικές σακούλες,0.680473804,1,1,1,1,1,1,1,yes,yes,yes
,distilbert-base-uncased-distilled-squad,plastic bags,Plastic bags,plastic bags,plastic bags,πλαστικές σακούλες,Πλαστικές σακούλες,0.788677156,1,1,1,1,1,1,1,yes,yes,yes
